Ex,NLD
0.25,2.458
0.5,1.458
0.75,0.729
1,3.47636
1.25,5.49473
1.5,11.908
1.75,16.56
2,21.67
2.25,23.55
2.5,24.2588
2.75,28.6035
3,32.561
3.25,45.23
3.5,68.98
3.75,90.24
4,128.9
4.25,153.42
4.5,178.58
4.75,200.7
5,207
5.5,261.9238
6,439.5015
6.5,812.0712
7,1318.73
7.5,1813.14
8,2273.11
8.5,3054.98
9,4400.35
9.5,6084.14
10,8516.04
11,17730.3
12,32863
13,52126.86
14,101048.5
15,183441.8
16,292298.1
17,487692
18,830847
19,1366457
20,2078968
22.5,6522170
25,18068330
30,116438400
40,3157748000
50,63072100000
60,1.19489E+12
70,2.01906E+13
80,2.92088E+14
90,3.68645E+15
100,4.14E+16
110,4.20E+17
120,3.90E+18
130,3.35E+19
140,2.68E+20
150,2.02E+21
160,1.43E+22
170,9.61E+22
180,6.15E+23
190,3.77E+24
200,1.86E+25

