E,f(E1),f(M1)
1.00E-03,0.00E+00,0.00E+00
2.00E-03,0.00E+00,3.69E-13
5.00E-03,0.00E+00,9.22E-13
1.00E-02,0.00E+00,1.84E-12
2.00E-02,0.00E+00,3.69E-12
5.00E-02,0.00E+00,9.22E-12
1.00E-01,0.00E+00,1.84E-11
2.00E-01,5.94E-09,3.69E-11
3.00E-01,5.94E-09,5.54E-11
4.00E-01,5.93E-09,7.40E-11
5.00E-01,5.94E-09,9.27E-11
6.00E-01,5.94E-09,1.11E-10
7.00E-01,5.95E-09,1.30E-10
8.00E-01,5.97E-09,1.50E-10
9.00E-01,5.99E-09,1.69E-10
1.00E+00,6.02E-09,1.88E-10
1.10E+00,6.05E-09,2.08E-10
1.20E+00,6.09E-09,2.28E-10
1.30E+00,6.13E-09,2.49E-10
1.40E+00,6.17E-09,2.69E-10
1.50E+00,6.23E-09,2.91E-10
1.60E+00,6.29E-09,3.12E-10
1.70E+00,6.35E-09,3.34E-10
1.80E+00,6.42E-09,3.56E-10
1.90E+00,6.50E-09,3.79E-10
2.00E+00,6.59E-09,4.03E-10
2.20E+00,6.79E-09,4.52E-10
2.40E+00,7.03E-09,5.03E-10
2.60E+00,7.30E-09,5.58E-10
2.80E+00,7.59E-09,6.16E-10
3.00E+00,7.90E-09,6.78E-10
3.20E+00,8.24E-09,7.45E-10
3.40E+00,8.62E-09,8.17E-10
3.60E+00,9.03E-09,8.95E-10
3.80E+00,9.49E-09,9.79E-10
4.00E+00,9.98E-09,1.07E-09
4.50E+00,1.14E-08,1.34E-09
5.00E+00,1.32E-08,1.69E-09
5.50E+00,1.55E-08,2.14E-09
6.00E+00,1.86E-08,2.74E-09
6.50E+00,2.30E-08,3.54E-09
7.00E+00,2.94E-08,4.59E-09
7.50E+00,3.92E-08,5.91E-09
8.00E+00,5.26E-08,7.34E-09
8.50E+00,6.75E-08,8.47E-09
9.00E+00,8.37E-08,8.75E-09
9.50E+00,9.84E-08,8.00E-09
1.00E+01,1.10E-07,6.65E-09
1.05E+01,1.24E-07,5.26E-09
1.10E+01,1.48E-07,4.09E-09
1.15E+01,1.85E-07,3.18E-09
1.20E+01,2.25E-07,2.50E-09
1.25E+01,2.53E-07,2.00E-09
1.30E+01,2.65E-07,1.62E-09
1.35E+01,2.67E-07,1.33E-09
1.40E+01,2.59E-07,1.11E-09
1.45E+01,2.47E-07,9.33E-10
1.50E+01,2.36E-07,7.95E-10
1.55E+01,2.26E-07,6.83E-10
1.60E+01,2.19E-07,5.92E-10
1.65E+01,2.14E-07,5.17E-10
1.70E+01,2.12E-07,4.55E-10
1.75E+01,2.13E-07,4.03E-10
1.80E+01,2.13E-07,3.59E-10
1.85E+01,2.14E-07,3.21E-10
1.90E+01,2.13E-07,2.88E-10
1.95E+01,2.10E-07,2.60E-10
2.00E+01,2.05E-07,2.36E-10
2.05E+01,1.99E-07,2.15E-10
2.10E+01,1.91E-07,1.96E-10
2.15E+01,1.82E-07,1.79E-10
2.20E+01,1.72E-07,1.65E-10
2.25E+01,1.62E-07,1.52E-10
2.30E+01,1.52E-07,1.40E-10
2.35E+01,1.43E-07,1.29E-10
2.40E+01,1.33E-07,1.20E-10
2.45E+01,1.25E-07,1.12E-10
2.50E+01,1.16E-07,1.04E-10
2.55E+01,1.08E-07,9.68E-11
2.60E+01,1.01E-07,9.05E-11
2.65E+01,9.44E-08,8.47E-11
2.70E+01,8.82E-08,7.94E-11
2.75E+01,8.25E-08,7.46E-11
2.80E+01,7.74E-08,7.01E-11
2.85E+01,7.26E-08,6.60E-11
2.90E+01,6.82E-08,6.22E-11
2.95E+01,6.42E-08,5.87E-11
3.00E+01,6.05E-08,5.55E-11

